Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
Clarence Abel,1927,1929,3,111,11,6,17,,151,,,,3,,,,,,,,abelcl01
Douglas Adam,1950,1950,1,4,0,1,1,,0,0,0,0,0,1,0,0,,,,,adamdo01
Lloyd Ailsby,1952,1952,1,3,0,0,0,,2,0,0,0,0,0,0,0,,,,,ailsbll01
Clint Albright,1949,1949,1,59,14,5,19,,19,10,4,0,1,2,3,0,,,,,albricl01
Conor Allen,2014,2015,2,7,0,0,0,-2,4,0,0,0,0,0,0,0,4,0,92,13:10,allenco01
George Allen,1939,1939,1,19,6,6,12,,10,4,1,1,3,4,2,0,,,,,allenge01
Mike Allison,1981,1986,6,266,63,102,165,28,297,56,7,0,5,81,19,2,353,17.8,,,allismi01
Bill Allum,1941,1941,1,1,0,1,1,,0,0,0,0,0,1,0,0,,,,,allumbi01
Tony Amonte,1992,1994,3,234,84,99,183,17,135,59,25,0,12,73,26,0,683,12.3,,,amontto01
Glenn Anderson*,1994,1994,1,12,4,2,6,1,12,2,2,0,0,1,1,0,22,18.2,,,andergl01
Kent-Erik Andersson,1983,1984,2,134,13,35,48,11,22,13,0,0,2,31,2,2,162,8,,,anderke01
Lias Andersson,2018,2020,3,66,3,6,9,-20,33,2,0,1,0,6,0,0,59,5.1,696,10:33,anderli01
Peter Andersson,1993,1994,2,39,5,12,17,1,20,1,3,1,2,6,6,0,78,6.4,,,anderpe03
Paul Andrea,1966,1966,1,4,1,1,2,-1,0,1,0,0,0,1,0,0,7,14.3,,,andrepa01
Lou Angotti,1965,1966,2,91,11,10,21,-28,22,7,3,1,1,9,1,0,90,12.2,,,angotlo01
Artem Anisimov,2009,2012,4,244,46,62,108,13,86,37,8,1,5,56,6,0,447,10.3,3613,14:48,anisiar01
Hub Anslow,1948,1948,1,2,0,0,0,,0,0,0,0,0,0,0,0,,,,,anslohu01
Nik Antropov,2009,2009,1,18,7,6,13,-1,6,5,2,0,2,4,2,0,53,13.2,308,17:05,antroni01
Syl Apps,1971,1971,1,31,1,2,3,0,11,1,0,0,0,1,1,0,25,4,,,appssy02
Dave Archibald,1990,1990,1,19,2,3,5,0,6,1,1,0,0,2,1,0,30,6.7,,,archida01
